Jobclass,Job,age,Education-level,marital-status,race,gender,hours-per-week,native-country,income
Private,Tech-support,46,Assoc-voc,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Machine-op-inspct,30,HS-grad,Married-A-spouse,White,Male,40,Mexico,<=50K
Private,Handlers-cleaners,21,Some-college,Separated,White,Female,40,United-States,<=50K
Private,Craft-repair,46,Some-college,Married-A-spouse,Other,Male,40,Dominican-Republic,<=50K
?,?,17,10th,Never-married,White,Male,40,United-States,<=50K
Private,Machine-op-inspct,41,HS-grad,Married-A-spouse,White,Male,50,United-States,<=50K
Self-emp-inc,Sales,69,HS-grad,Married-A-spouse,White,Male,30,United-States,<=50K
Private,Transport-moving,50,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Adm-clerical,20,Some-college,Never-married,White,Female,40,United-States,<=50K
Self-emp-inc,Machine-op-inspct,45,Some-college,Married-A-spouse,White,Male,50,United-States,<=50K
Private,Exec-managerial,23,Bachelors,Never-married,White,Male,40,United-States,<=50K
Private,Other-service,24,Some-college,Separated,White,Male,40,United-States,<=50K
Self-emp-inc,Craft-repair,44,HS-grad,Married-A-spouse,White,Male,50,?,>50K
Self-emp-not-inc,Craft-repair,31,Some-college,Married-A-spouse,White,Male,50,United-States,<=50K
Private,Machine-op-inspct,43,HS-grad,Separated,White,Female,44,United-States,<=50K
Federal-gov,Other-service,20,11th,Never-married,White,Female,10,United-States,<=50K
Private,Sales,55,HS-grad,Married-A-spouse,White,Male,56,United-States,>50K
Federal-gov,Armed-Forces,24,Some-college,Never-married,White,Male,40,United-States,<=50K
?,?,41,Masters,Married-A-spouse,White,Female,10,United-States,>50K
Private,Exec-managerial,59,Bachelors,Never-married,White,Female,25,United-States,<=50K
Federal-gov,Other-service,49,7th-8th,Never-married,Black,Male,20,United-States,<=50K
Private,Prof-specialty,33,Masters,Married-A-spouse,White,Female,10,United-States,>50K
Federal-gov,Adm-clerical,59,Bachelors,Divorced,White,Male,40,United-States,<=50K
Private,Other-service,34,Masters,Never-married,Amer-Indian-Eskimo,Male,40,United-States,<=50K
Private,Handlers-cleaners,20,HS-grad,Never-married,White,Male,40,United-States,<=50K
Private,Exec-managerial,25,Bachelors,Never-married,White,Female,40,United-States,<=50K
Private,Farming-fishing,49,10th,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Transport-moving,59,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Private,Adm-clerical,20,HS-grad,Never-married,White,Female,40,United-States,<=50K
?,?,51,Some-college,Married-A-spouse,White,Female,18,United-States,<=50K
Private,Adm-clerical,33,Some-college,Never-married,Black,Female,35,United-States,<=50K
Private,Transport-moving,22,Some-college,Never-married,Black,Male,39,United-States,<=50K
Self-emp-not-inc,Other-service,58,9th,Widowed,White,Female,40,United-States,<=50K
Local-gov,Adm-clerical,52,HS-grad,Widowed,White,Female,28,United-States,<=50K
Private,Machine-op-inspct,36,10th,Separated,White,Female,40,United-States,<=50K
Local-gov,Protective-serv,41,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Transport-moving,28,HS-grad,Never-married,White,Male,40,United-States,<=50K
Private,Handlers-cleaners,19,Some-college,Never-married,Black,Male,16,United-States,<=50K
Private,Other-service,18,HS-grad,Never-married,White,Female,28,United-States,<=50K
Private,Machine-op-inspct,18,HS-grad,Never-married,White,Female,48,United-States,<=50K
Private,Craft-repair,28,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Exec-managerial,29,Assoc-voc,Married-A-spouse,White,Male,40,United-States,>50K
?,?,20,HS-grad,Never-married,White,Female,20,United-States,<=50K
Private,Handlers-cleaners,40,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Handlers-cleaners,26,HS-grad,Never-married,White,Male,40,United-States,<=50K
Private,Craft-repair,46,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Other-service,23,11th,Never-married,White,Female,24,United-States,<=50K
Private,Adm-clerical,44,HS-grad,Married-C-spouse,White,Female,40,United-States,<=50K
Private,Sales,43,Bachelors,Divorced,White,Female,40,United-States,>50K
Local-gov,Prof-specialty,31,Bachelors,Divorced,White,Female,60,United-States,<=50K
Private,Sales,18,Some-college,Never-married,White,Female,25,United-States,<=50K
Private,Protective-serv,19,Some-college,Never-married,White,Male,30,United-States,<=50K
Private,Tech-support,41,Some-college,Divorced,White,Female,40,United-States,<=50K
Private,Handlers-cleaners,41,HS-grad,Divorced,White,Female,40,United-States,<=50K
Private,Adm-clerical,69,HS-grad,Divorced,White,Female,25,United-States,<=50K
Federal-gov,Prof-specialty,48,Doctorate,Married-A-spouse,White,Female,40,United-States,>50K
Private,Prof-specialty,28,HS-grad,Never-married,White,Male,40,United-States,<=50K
Self-emp-not-inc,Craft-repair,27,HS-grad,Married-A-spouse,White,Male,60,Ireland,>50K
Private,Prof-specialty,41,Masters,Married-A-spouse,White,Male,50,United-States,>50K
Private,Adm-clerical,41,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Craft-repair,24,HS-grad,Never-married,Black,Female,40,United-States,<=50K
?,?,20,HS-grad,Never-married,White,Female,40,United-States,<=50K
Self-emp-inc,Prof-specialty,42,Doctorate,Married-A-spouse,White,Male,41,United-States,>50K
Private,Craft-repair,57,HS-grad,Married-A-spouse,Black,Male,48,United-States,<=50K
Private,Prof-specialty,30,Assoc-acdm,Never-married,White,Female,40,United-States,<=50K
Private,Sales,36,HS-grad,Married-A-spouse,White,Male,60,United-States,>50K
Private,Machine-op-inspct,49,7th-8th,Married-A-spouse,Black,Male,40,United-States,<=50K
Private,Machine-op-inspct,33,HS-grad,Married-A-spouse,White,Female,35,United-States,<=50K
Private,Farming-fishing,23,10th,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Prof-specialty,46,Masters,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Adm-clerical,18,Some-college,Never-married,Asian-Pac-Islander,Female,22,Germany,<=50K
Private,Exec-managerial,40,HS-grad,Married-A-spouse,White,Male,55,United-States,>50K
Self-emp-inc,Exec-managerial,43,HS-grad,Married-A-spouse,White,Male,45,United-States,>50K
Private,Prof-specialty,34,Masters,Never-married,White,Female,30,United-States,<=50K
Self-emp-not-inc,Exec-managerial,47,HS-grad,Widowed,White,Female,30,United-States,<=50K
Private,Exec-managerial,44,Assoc-voc,Widowed,White,Female,30,United-States,<=50K
Private,Sales,33,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Private,Exec-managerial,55,Bachelors,Married-A-spouse,White,Male,50,United-States,>50K
Private,Sales,19,HS-grad,Never-married,White,Male,30,United-States,<=50K
Private,Other-service,28,Some-college,Never-married,Black,Male,14,United-States,<=50K
Private,Other-service,27,11th,Married-A-spouse,Black,Female,32,United-States,<=50K
Private,Machine-op-inspct,50,7th-8th,Married-A-spouse,White,Male,20,United-States,<=50K
Private,Craft-repair,22,11th,Never-married,White,Male,40,United-States,<=50K
State-gov,Adm-clerical,40,Bachelors,Married-A-spouse,White,Male,45,United-States,>50K
Private,Adm-clerical,25,Some-college,Never-married,White,Female,40,United-States,<=50K
Local-gov,Craft-repair,26,HS-grad,Never-married,White,Male,40,United-States,<=50K
Private,Sales,22,Bachelors,Never-married,White,Male,25,United-States,<=50K
Private,Handlers-cleaners,42,Some-college,Never-married,Black,Female,40,United-States,<=50K
Self-emp-inc,Exec-managerial,38,Bachelors,Divorced,White,Male,40,United-States,<=50K
Private,Other-service,55,11th,Married-A-spouse,White,Male,30,United-States,<=50K
Private,Sales,32,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Craft-repair,22,HS-grad,Married-A-spouse,White,Male,45,United-States,<=50K
Private,Sales,29,Bachelors,Never-married,White,Male,40,United-States,<=50K
State-gov,Exec-managerial,46,Masters,Married-A-spouse,White,Male,45,United-States,>50K
Private,Exec-managerial,31,Some-college,Married-A-spouse,White,Male,40,United-States,>50K
Self-emp-not-inc,Prof-specialty,58,Doctorate,Married-A-spouse,White,Male,16,United-States,>50K
Private,Craft-repair,42,HS-grad,Married-A-spouse,White,Male,45,United-States,<=50K
Private,Handlers-cleaners,18,HS-grad,Never-married,White,Male,25,United-States,<=50K
Local-gov,Exec-managerial,58,HS-grad,Divorced,White,Male,33,United-States,<=50K
Private,Prof-specialty,54,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Private,Prof-specialty,34,Masters,Never-married,White,Male,40,United-States,<=50K
Private,Adm-clerical,26,Bachelors,Never-married,White,Female,40,United-States,<=50K
Private,Exec-managerial,61,12th,Married-A-spouse,White,Male,60,United-States,<=50K
Local-gov,Adm-clerical,48,Masters,Separated,Black,Female,40,United-States,<=50K
Private,Exec-managerial,36,Some-college,Married-A-spouse,White,Male,45,United-States,>50K
Private,Machine-op-inspct,24,Assoc-voc,Married-A-spouse,White,Male,45,United-States,<=50K
Private,Machine-op-inspct,40,Some-college,Married-A-spouse,White,Male,37,United-States,<=50K
Self-emp-inc,Sales,33,HS-grad,Married-A-spouse,White,Male,50,United-States,>50K
Private,Machine-op-inspct,37,Some-college,Married-A-spouse,White,Male,40,United-States,>50K
Private,Exec-managerial,34,Masters,Never-married,White,Male,40,United-States,<=50K
Self-emp-inc,Exec-managerial,56,Some-college,Married-A-spouse,White,Male,40,United-States,>50K
?,?,28,HS-grad,Married-A-spouse,White,Female,38,United-States,>50K
Private,Exec-managerial,37,Bachelors,Widowed,White,Female,55,United-States,<=50K
Private,Sales,44,HS-grad,Divorced,Black,Female,40,United-States,<=50K
?,?,64,Some-college,Married-A-spouse,White,Male,8,United-States,<=50K
Private,Handlers-cleaners,54,HS-grad,Divorced,White,Male,45,United-States,<=50K
Private,Machine-op-inspct,23,HS-grad,Never-married,White,Male,50,United-States,<=50K
State-gov,Farming-fishing,34,Bachelors,Married-C-spouse,Black,Male,40,?,<=50K
Private,Other-service,22,HS-grad,Never-married,White,Female,45,United-States,<=50K
Private,Exec-managerial,33,Bachelors,Married-A-spouse,White,Male,40,United-States,>50K
Private,Prof-specialty,39,Bachelors,Separated,White,Male,50,United-States,>50K
Private,Adm-clerical,47,Some-college,Divorced,Black,Female,37,United-States,<=50K
?,?,79,7th-8th,Widowed,White,Male,40,United-States,<=50K
Private,Prof-specialty,26,HS-grad,Never-married,Black,Female,55,United-States,<=50K
Private,Exec-managerial,31,Some-college,Divorced,White,Female,40,United-States,<=50K
Private,Transport-moving,44,Some-college,Never-married,White,Male,45,United-States,<=50K
Self-emp-inc,Prof-specialty,42,Prof-school,Married-A-spouse,White,Female,50,United-States,>50K
Private,Machine-op-inspct,19,HS-grad,Never-married,White,Female,40,United-States,<=50K
Private,Handlers-cleaners,27,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Local-gov,Protective-serv,51,Some-college,Married-A-spouse,White,Male,40,United-States,>50K
Self-emp-inc,Exec-managerial,28,Bachelors,Married-A-spouse,White,Male,50,United-States,<=50K
Private,Craft-repair,57,Bachelors,Divorced,White,Male,45,United-States,<=50K
Local-gov,Prof-specialty,45,Bachelors,Divorced,White,Female,40,United-States,<=50K
Private,Prof-specialty,50,Assoc-voc,Married-A-spouse,White,Male,40,United-States,>50K
Self-emp-inc,Sales,34,Bachelors,Married-A-spouse,White,Male,54,United-States,<=50K
Private,Craft-repair,45,7th-8th,Married-A-spouse,Black,Male,40,United-States,<=50K
Local-gov,Exec-managerial,73,HS-grad,Married-A-spouse,White,Male,20,United-States,<=50K
Private,Prof-specialty,34,Bachelors,Married-A-spouse,White,Female,50,United-States,>50K
Private,Sales,31,Some-college,Married-A-spouse,White,Male,55,United-States,>50K
Private,Sales,19,11th,Never-married,White,Male,12,United-States,<=50K
Private,Other-service,25,Some-college,Never-married,White,Female,50,United-States,<=50K
Federal-gov,Craft-repair,38,Assoc-voc,Divorced,White,Female,40,United-States,<=50K
Private,Transport-moving,39,Bachelors,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Tech-support,23,Bachelors,Never-married,Black,Female,32,United-States,<=50K
Private,Machine-op-inspct,49,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Federal-gov,Other-service,33,HS-grad,Never-married,White,Male,32,United-States,<=50K
Private,Machine-op-inspct,21,5th-6th,Never-married,White,Male,38,Mexico,<=50K
Private,Craft-repair,31,Assoc-voc,Separated,White,Male,40,United-States,<=50K
Private,Exec-managerial,23,Bachelors,Never-married,White,Female,45,United-States,<=50K
Private,Adm-clerical,34,Bachelors,Married-A-spouse,Asian-Pac-Islander,Male,40,Philippines,<=50K
Private,Machine-op-inspct,25,HS-grad,Never-married,Asian-Pac-Islander,Female,40,Philippines,<=50K
Private,Craft-repair,39,HS-grad,Never-married,White,Male,40,United-States,<=50K
Self-emp-inc,Sales,52,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Local-gov,Transport-moving,63,9th,Married-A-spouse,White,Male,40,United-States,>50K
Private,Craft-repair,41,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Prof-specialty,46,Bachelors,Married-A-spouse,White,Male,38,United-States,>50K
Local-gov,Exec-managerial,53,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
?,?,25,9th,Separated,White,Female,40,United-States,<=50K
?,?,77,Some-college,Married-A-spouse,White,Male,35,United-States,<=50K
Private,Priv-house-serv,18,12th,Never-married,White,Male,40,United-States,<=50K
Private,Prof-specialty,38,Prof-school,Married-A-spouse,White,Male,50,United-States,<=50K
Private,Exec-managerial,55,Masters,Never-married,Asian-Pac-Islander,Female,50,Thailand,<=50K
Private,Tech-support,34,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Self-emp-not-inc,Other-service,80,HS-grad,Married-A-spouse,White,Male,30,United-States,<=50K
Private,Tech-support,34,Assoc-voc,Divorced,White,Female,60,United-States,<=50K
Private,Tech-support,52,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Other-service,42,HS-grad,Never-married,Black,Female,28,Haiti,<=50K
Private,Sales,26,Some-college,Never-married,White,Female,40,United-States,<=50K
Private,Transport-moving,31,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Local-gov,Other-service,25,HS-grad,Never-married,White,Female,35,United-States,<=50K
Self-emp-not-inc,Craft-repair,55,HS-grad,Married-A-spouse,White,Male,60,United-States,<=50K
Private,Other-service,19,Some-college,Never-married,White,Female,12,United-States,<=50K
Self-emp-not-inc,Transport-moving,62,Some-college,Married-A-spouse,White,Male,32,United-States,<=50K
Federal-gov,Adm-clerical,22,Some-college,Never-married,White,Female,20,United-States,<=50K
?,?,39,HS-grad,Married-A-spouse,White,Female,50,United-States,<=50K
Private,Handlers-cleaners,35,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Sales,28,HS-grad,Married-A-spouse,White,Female,40,United-States,<=50K
Private,Transport-moving,47,HS-grad,Married-A-spouse,White,Male,70,United-States,>50K
State-gov,Machine-op-inspct,44,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Sales,21,Some-college,Never-married,White,Male,15,United-States,<=50K
Private,Craft-repair,35,Assoc-voc,Never-married,White,Male,50,United-States,<=50K
Private,Prof-specialty,24,Bachelors,Married-A-spouse,White,Male,40,United-States,>50K
Federal-gov,Prof-specialty,42,Bachelors,Never-married,White,Male,40,?,<=50K
Private,Tech-support,28,Bachelors,Never-married,White,Male,50,United-States,<=50K
Private,Machine-op-inspct,21,Some-college,Never-married,White,Male,35,United-States,<=50K
Federal-gov,Tech-support,62,Some-college,Divorced,Black,Male,40,United-States,<=50K
Private,Other-service,39,HS-grad,Never-married,Black,Female,40,United-States,<=50K
State-gov,Other-service,30,HS-grad,Never-married,White,Male,40,United-States,<=50K
Self-emp-not-inc,Prof-specialty,72,Prof-school,Never-married,White,Male,20,United-States,<=50K
Private,Exec-managerial,50,Some-college,Married-A-spouse,White,Female,50,United-States,<=50K
Local-gov,Prof-specialty,28,Masters,Never-married,White,Male,40,United-States,<=50K
Private,Prof-specialty,29,Some-college,Never-married,White,Female,40,United-States,<=50K
Private,Adm-clerical,26,Bachelors,Never-married,White,Female,40,United-States,<=50K
Private,Exec-managerial,27,Masters,Never-married,White,Female,40,United-States,<=50K
Private,Handlers-cleaners,29,Some-college,Married-A-spouse,White,Male,40,United-States,>50K
?,?,61,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Craft-repair,29,10th,Married-A-spouse,White,Male,25,United-States,<=50K
?,?,21,Some-college,Never-married,White,Female,30,United-States,<=50K
Private,Sales,31,11th,Married-A-spouse,White,Female,20,United-States,<=50K
Private,Exec-managerial,25,HS-grad,Married-A-spouse,White,Male,75,United-States,<=50K
Private,Transport-moving,58,10th,Married-A-spouse,White,Male,40,United-States,>50K
Private,Exec-managerial,64,Some-college,Married-A-spouse,White,Female,40,United-States,>50K
State-gov,Exec-managerial,46,Masters,Never-married,White,Male,38,United-States,<=50K
?,?,53,HS-grad,Married-A-spouse,White,Male,35,United-States,>50K
Private,Other-service,19,HS-grad,Never-married,Amer-Indian-Eskimo,Female,35,United-States,<=50K
Private,Other-service,42,HS-grad,Divorced,Black,Male,52,United-States,<=50K
Private,Handlers-cleaners,18,11th,Never-married,White,Male,24,United-States,<=50K
Self-emp-inc,Craft-repair,58,Bachelors,Married-A-spouse,White,Male,50,United-States,>50K
Private,Protective-serv,20,Some-college,Never-married,Black,Male,60,United-States,<=50K
Federal-gov,Craft-repair,35,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
Private,Handlers-cleaners,32,HS-grad,Married-A-spouse,White,Male,38,United-States,>50K
Private,Handlers-cleaners,23,HS-grad,Never-married,White,Female,25,United-States,<=50K
Private,Tech-support,31,Some-college,Divorced,White,Female,40,United-States,<=50K
Private,Sales,33,Bachelors,Married-A-spouse,Black,Male,55,United-States,<=50K
Private,Machine-op-inspct,41,Some-college,Never-married,White,Female,48,United-States,<=50K
Private,Machine-op-inspct,22,HS-grad,Never-married,Black,Male,40,United-States,<=50K
Private,Protective-serv,46,Some-college,Married-A-spouse,White,Male,40,United-States,>50K
Federal-gov,Transport-moving,61,Some-college,Married-A-spouse,Black,Male,40,United-States,<=50K
Private,Exec-managerial,30,HS-grad,Never-married,Black,Male,40,United-States,<=50K
Private,Exec-managerial,42,HS-grad,Married-A-spouse,White,Male,55,United-States,>50K
Private,Handlers-cleaners,63,10th,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Sales,26,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Adm-clerical,42,10th,Divorced,White,Female,40,United-States,<=50K
Private,Other-service,23,Some-college,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Machine-op-inspct,25,HS-grad,Never-married,White,Male,40,United-States,<=50K
Private,Other-service,30,9th,Married-A-spouse,White,Male,32,El-Salvador,>50K
Private,Sales,23,HS-grad,Never-married,White,Male,40,United-States,<=50K
Self-emp-not-inc,Farming-fishing,34,Assoc-voc,Never-married,White,Male,60,United-States,>50K
Private,Machine-op-inspct,30,HS-grad,Married-A-spouse,White,Male,48,United-States,<=50K
Private,Craft-repair,39,Some-college,Married-A-spouse,White,Male,40,United-States,>50K
Private,Handlers-cleaners,30,11th,Never-married,White,Male,38,Puerto-Rico,<=50K
Local-gov,Adm-clerical,38,Some-college,Divorced,White,Female,38,United-States,<=50K
Private,Exec-managerial,26,HS-grad,Divorced,White,Female,40,United-States,<=50K
Private,Handlers-cleaners,20,Some-college,Never-married,White,Male,16,United-States,<=50K
Local-gov,Prof-specialty,37,Bachelors,Never-married,Black,Male,40,?,<=50K
Private,Adm-clerical,33,HS-grad,Married-A-spouse,White,Female,40,United-States,<=50K
Private,Adm-clerical,24,Bachelors,Never-married,White,Male,40,United-States,<=50K
Self-emp-inc,Exec-managerial,42,Bachelors,Married-A-spouse,White,Male,60,United-States,>50K
Self-emp-not-inc,Sales,51,HS-grad,Married-A-spouse,Asian-Pac-Islander,Male,84,Vietnam,<=50K
Local-gov,Tech-support,56,Assoc-acdm,Married-A-spouse,White,Male,45,United-States,>50K
Private,Handlers-cleaners,22,Some-college,Never-married,White,Male,40,United-States,<=50K
Self-emp-not-inc,Farming-fishing,52,Some-college,Married-A-spouse,White,Male,60,United-States,<=50K
Private,Exec-managerial,44,Bachelors,Divorced,White,Female,45,United-States,>50K
Private,Adm-clerical,34,HS-grad,Married-A-spouse,White,Female,35,United-States,<=50K
Private,Craft-repair,51,Some-college,Divorced,White,Male,42,United-States,>50K
?,?,20,Some-college,Never-married,White,Male,40,United-States,<=50K
Private,Sales,19,Some-college,Never-married,White,Female,25,United-States,<=50K
Private,Exec-managerial,37,Bachelors,Married-A-spouse,White,Male,40,United-States,>50K
Private,Machine-op-inspct,68,HS-grad,Married-A-spouse,Black,Male,40,United-States,>50K
Private,Protective-serv,22,Some-college,Divorced,White,Male,40,United-States,<=50K
Self-emp-inc,Exec-managerial,56,Bachelors,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Craft-repair,37,HS-grad,Married-A-spouse,White,Male,40,United-States,<=50K
Private,Machine-op-inspct,52,1st-4th,Married-A-spouse,White,Male,40,Mexico,<=50K
Private,Handlers-cleaners,26,HS-grad,Separated,White,Male,40,Puerto-Rico,<=50K
Private,Prof-specialty,33,Masters,Married-A-spouse,White,Male,50,United-States,<=50K
Local-gov,Prof-specialty,45,Masters,Divorced,White,Female,42,United-States,<=50K
Private,Other-service,18,11th,Never-married,White,Male,15,United-States,<=50K
Self-emp-not-inc,Farming-fishing,43,Some-college,Married-A-spouse,White,Male,60,United-States,>50K
Self-emp-not-inc,Prof-specialty,64,Doctorate,Married-A-spouse,White,Male,50,?,>50K
Private,Handlers-cleaners,18,HS-grad,Never-married,White,Male,20,United-States,<=50K
?,?,20,Some-college,Never-married,White,Male,45,United-States,<=50K
Private,Craft-repair,57,HS-grad,Married-A-spouse,White,Male,40,United-States,>50K
